;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
   46186 - Paiporta;25309;3,96;6396,07;44,71;12,06;3,49;74,72;48,97;26088;3,96;6592,94;46,71;11,69;3,92;75,72;49,58;26514;3,96;6700,6;45,73;11,2;4,41;78,34;49,21;26401;3,96;6672,04;41,82;11,01;4,43;83,55;48,45;26567;3,96;6713,99;36,53;10,49;4,98;87,2;48,13
   46187 - Palma de Gandía;1543;13,92;110,84;1,51;-8,1;-2,85;191,88;59,4;1631;13,92;117,16;7,09;-8,03;-2,76;181,6;57,74;1709;13,92;122,76;8,51;-8,95;0,94;202,39;58,68;1660;13,92;119,24;4,21;-10,48;-1,75;213,09;56,31;1686;13,92;121,11;4,85;-10,85;3,91;212,31;56,55
   46188 - Palmera;1047;0,98;1070,73;92,46;10,32;5,16;68,27;50,22;1024;0,98;1047,21;95,42;11,04;0,2;71,78;51,26;1018;0,98;1041,08;91,35;10,81;-2,46;76,02;51,26;1024;0,98;1047,21;80,28;9,67;-1,76;74,35;48,19;1040;0,98;1063,58;70,21;8,85;-2,5;74,62;49,43
   46189 - Palomar, el;576;7,76;74,24;16,84;-4,51;4,86;159,46;50;590;7,76;76,05;18,24;-4,07;6,27;161,33;49,75;567;7,76;73,08;12,72;-5,47;3,7;160,87;46,51;562;7,76;72,44;10,85;-5,52;2,85;149,3;45,97;566;7,76;72,95;10,76;-6,01;2,83;157,53;49,74
   46190 - Paterna;69156;35,85;1928,96;49,11;10,78;4,14;65,34;50,54;70195;35,85;1957,94;48,75;10,65;3,31;67,67;50,95;71035;35,85;1981,37;49,55;10,54;2,44;69,9;51,41;71361;35,85;1990,47;49,64;10,37;2,32;73,19;51,36;71880;35,85;2004,94;48,61;10,25;3,14;76,15;51,4
   46191 - Pedralba;2777;58,85;47,19;33,19;-5,04;-4,14;167,97;53;2778;58,85;47,21;34,33;-5,18;-4,07;171,63;53,4;2814;58,85;47,82;33,43;-5,01;-2,27;167,4;52,44;2852;58,85;48,47;30,23;-4,84;0,18;172,21;53,91;2966;58,85;50,4;29,92;-4,82;6,07;184,3;53,36
   46192 - Petrés;969;1,87;516,87;30,77;1,44;3,41;123,72;56,29;997;1,87;531,81;33,65;1,5;6,52;126,42;56,51;999;1,87;532,88;23,33;1,4;4,2;124,53;55,61;1012;1,87;539,81;24,32;0,79;3,95;136,36;56,17;1057;1,87;563,81;26,89;0,95;6,91;130,12;56,59
   46193 - Picanya;11409;7,2;1584,78;30,52;2,54;7,42;102,27;48,81;11513;7,2;1599,23;30,96;2,23;6,75;105,59;49,77;11606;7,2;1612,15;29,94;2,04;7,29;107,43;49,72;11692;7,2;1624,09;30,51;1,78;7,66;109,88;50,61;11665;7,2;1620,34;27,15;1,29;6,72;116,76;50,34
   46194 - Picassent;20709;85,79;241,4;33,13;6,23;4,65;91,89;52,15;20942;85,79;244,12;33,32;5,98;4,38;93,37;52,13;21263;85,79;247,86;32,85;5,7;5,81;95,44;52,15;21487;85,79;250,47;32,19;5,43;6,99;98,65;52,08;21761;85,79;253,67;32,08;5,17;7,37;102,19;51,28
   46195 - Piles;2688;3,94;682,13;38,13;1,75;-2,9;108,71;49,25;2685;3,94;681,37;36,78;1,82;-5,85;110,69;49,33;2740;3,94;695,33;38,31;2,01;-3,58;111,32;48,59;2742;3,94;695,84;32,66;1,68;-2,55;117,96;48,7;2882;3,94;731,37;28,78;1,53;-0,62;118,84;48,48
   46196 - Pinet;156;11,89;13,12;-31,58;-37,82;-16,03;544,44;59,18;157;11,89;13,21;-29,91;-37,58;-14,65;612,5;57;157;11,89;13,21;-25,94;-39,49;-1,27;418,18;57;161;11,89;13,54;-23,7;-36,02;0,62;346,15;56,31;155;11,89;13,04;-25,12;-35,48;0;418,18;58,16
